date,title,label,label_volatility,impact_type,impact_class,section,ticker
2021-10-11,"Путин обсудил с Меркель и Макроном возможность проведения ""нормандского"" саммита",-1,0,trend,down,world,AKRN
2021-10-11,"Путин обсудил с Меркель и Макроном возможность проведения ""нормандского"" саммита",-1,0,trend,down,world,AKRN
2022-01-05,Резкое высказывание Макрона о непривитых французах вновь вызвало скандал,-1,1,volatility,down_vol,world,AKRN
2022-01-11,"""Россети Северо-Запад"" проиграли ""Акрону"" суд на 145 млн рублей",1,0,none,up,business,AKRN
2022-01-11,"""Россети Северо-Запад"" проиграли ""Акрону"" суд на 145 млн рублей",1,0,none,up,business,AKRN
2022-01-11,"""Россети Северо-Запад"" проиграли ""Акрону"" суд на 145 млн рублей",1,0,none,up,business,AKRN
2022-02-03,Зеленский обсудил с Макроном дальнейшие шаги по поддержанию устойчивости Украины,1,1,volatility,up_vol,world,AKRN
2022-02-03,Путин и Макрон обсудили ситуацию вокруг Украины и гарантии безопасности РФ,1,1,volatility,up_vol,russia,AKRN
2022-02-03,Зеленский обсудил с Макроном дальнейшие шаги по поддержанию устойчивости Украины,1,1,volatility,up_vol,world,AKRN
2022-02-03,Путин и Макрон обсудили ситуацию вокруг Украины и гарантии безопасности РФ,1,1,volatility,up_vol,russia,AKRN
2022-04-12,Макрон обвинил Ле Пен в тайном стремлении вывести Францию из ЕС,0,1,"trend,volatility",neutral_vol,world,AKRN
2022-04-12,Макрон обвинил Ле Пен в тайном стремлении вывести Францию из ЕС,0,1,"trend,volatility",neutral_vol,world,AKRN
2022-04-12,Макрон обвинил Ле Пен в тайном стремлении вывести Францию из ЕС,0,1,"trend,volatility",neutral_vol,world,AKRN
2022-06-03,Макрон призвал ускорить производство вооружения для укрепления независимости Франции,-1,0,trend,down,world,AKRN
2022-09-26,Макрон призвал Азербайджан и Армению срочно приступить к переговорам о мире,-1,1,"trend,volatility",down_vol,world,AKRN
2022-09-26,Макрон призвал Азербайджан и Армению срочно приступить к переговорам о мире,-1,1,"trend,volatility",down_vol,world,AKRN
2022-09-26,Макрон призвал Азербайджан и Армению срочно приступить к переговорам о мире,-1,1,"trend,volatility",down_vol,world,AKRN
2023-03-02,"Макрон заявил о завершении унаследованной от колониализма эпохи ""французской Африки""",1,0,trend,up,world,AKRN
2023-03-02,"Макрон заявил о завершении унаследованной от колониализма эпохи ""французской Африки""",1,0,trend,up,world,AKRN
2024-09-12,"Артем Дзюба стал игроком ""Акрона""",1,0,trend,up,https:,AKRN
2025-03-25,"Суд арестовал долг ""Акрона"" перед Societe Generale на 1,5 млрд рублей",-1,0,trend,down,russia,AKRN
2025-03-25,"Суд арестовал долг ""Акрона"" перед Societe Generale на 1,5 млрд рублей",-1,0,trend,down,russia,AKRN
2025-03-25,"Суд арестовал долг ""Акрона"" перед Societe Generale на 1,5 млрд рублей",-1,0,trend,down,russia,AKRN
