date,title,label,label_volatility,impact_type,impact_class,section,ticker
2021-05-10,Пожар произошел на территории Храмовой горы в Иерусалиме,1,0,none,up,world,RUAL
2021-05-10,Лавров и Чавушоглу обсудили обострение ситуации в Восточном Иерусалиме,1,0,none,up,russia,RUAL
2021-05-10,СМИ сообщили о выпущенных ракетах из сектора Газа в сторону Иерусалима,1,0,none,up,world,RUAL
2021-05-10,В столкновениях в Иерусалиме пострадали не менее 215 палестинцев,1,0,none,up,world,RUAL
2021-05-10,Пожар произошел на территории Храмовой горы в Иерусалиме,1,0,none,up,world,RUAL
2021-05-10,Лавров и Чавушоглу обсудили обострение ситуации в Восточном Иерусалиме,1,0,none,up,russia,RUAL
2021-05-10,СМИ сообщили о выпущенных ракетах из сектора Газа в сторону Иерусалима,1,0,none,up,world,RUAL
2021-05-10,В столкновениях в Иерусалиме пострадали не менее 215 палестинцев,1,0,none,up,world,RUAL
2021-06-23,"Рынок акций РФ вырос во главе с ""Русалом""",-1,1,volatility,down_vol,business,RUAL
2021-06-23,"Рынок акций РФ вырос во главе с ""Русалом""",-1,1,volatility,down_vol,business,RUAL
2021-06-23,"Рынок акций РФ вырос во главе с ""Русалом""",-1,1,volatility,down_vol,business,RUAL
2021-07-22,"Sual Partners не понравились заявления ""РусАла"" о возможном закрытии ряда мощностей",1,0,none,up,russia,RUAL
2022-04-07,"Глава СД ""Русала"" призвал расследовать события в Буче и наказать виновных",-1,1,volatility,down_vol,world,RUAL
2022-06-10,"Топ-менеджер ""Русала"" и экс-совладелец ""Вимм-Билль-Данна"" номинированы в СД ""РусГидро""",-1,0,trend,down,business,RUAL
2022-11-24,"Замглавы ""Русала"" Безденежных заменила Полетаева в совете директоров ""Норникеля""",-1,0,trend,down,business,RUAL
2023-01-27,Семь человек погибли в результате стрельбы в Восточном Иерусалиме,0,0,none,neutral,world,RUAL
2023-02-07,"""Русал"" запустил производство сплавов из алюминиевого лома для автопрома",1,0,trend,up,business,RUAL
2023-02-16,"В ""Русале"" 20 февраля рассмотрят требование Sual Partners о внеочередном собрании акционеров",0,0,none,neutral,business,RUAL
2023-06-29,"""Русал"" зарегистрировал в Катаре новую холдинговую компанию для зарубежных активов",-1,0,none,down,business,RUAL
2023-08-01,"Акционеры ""Русала"" отклонили требования Sual Partners о доступе к данным по хеджу",1,0,trend,up,business,RUAL
2023-08-01,"Акционеры ""Русала"" отклонили требования Sual Partners о доступе к данным по хеджу",1,0,trend,up,business,RUAL
2024-02-01,"""Русал"" увеличил объем размещения бондов вдвое - до 1 млрд юаней",0,0,none,neutral,business,RUAL
2024-04-01,Израильтяне провели крупные акции протеста в Тель-Авиве и Иерусалиме,1,1,"trend,volatility",up_vol,world,RUAL
2024-05-17,"""Русал"" до 16 июня проведет сбор заявок на выпуск облигаций объемом не менее $100 млн",-1,0,trend,down,business,RUAL
2024-05-17,"""Русал"" изучает возможность buyback",-1,0,trend,down,business,RUAL
2025-02-20,"Две ""дочки"" ""Русала"" стали резидентами САР в Калининграде",1,0,none,up,business,RUAL
