TRADEDATE,CLOSE
2024-01-03,6803.5
2024-01-04,6771.0
2024-01-05,6780.0
2024-01-08,6766.5
2024-01-09,6931.0
2024-01-10,6957.0
2024-01-11,6972.5
2024-01-12,6965.0
2024-01-15,6889.5
2024-01-16,6857.0
2024-01-17,6910.0
2024-01-18,6857.5
2024-01-19,6834.5
2024-01-22,6840.0
2024-01-23,6799.5
2024-01-24,6795.0
2024-01-25,6809.0
2024-01-26,6901.0
2024-01-29,6943.0
2024-01-30,6994.0
2024-01-31,7090.5
2024-02-01,7093.5
2024-02-02,7114.0
2024-02-05,7137.5
2024-02-06,7163.0
2024-02-07,7265.0
2024-02-08,7231.5
2024-02-09,7238.5
2024-02-12,7280.0
2024-02-13,7269.0
2024-02-14,7220.5
2024-02-15,7282.5
2024-02-16,7224.5
2024-02-19,7188.0
2024-02-20,7081.0
2024-02-21,6990.5
2024-02-22,7021.5
2024-02-26,7164.0
2024-02-27,7141.5
2024-02-28,7261.5
2024-02-29,7378.0
2024-03-01,7463.5
2024-03-04,7511.5
2024-03-05,7499.5
2024-03-06,7483.0
2024-03-07,7513.0
2024-03-11,7554.5
2024-03-12,7536.5
2024-03-13,7426.0
2024-03-14,7370.0
2024-03-15,7380.0
2024-03-18,7344.0
2024-03-19,7333.5
2024-03-20,7438.5
2024-03-21,7417.5
2024-03-22,7412.3
2024-03-22,7303.0
2024-03-25,7438.0
2024-03-26,7419.0
2024-03-27,7493.0
2024-03-28,7481.0
2024-03-29,7551.0
2024-04-01,7665.0
2024-04-02,7654.0
2024-04-03,7686.5
2024-04-04,7727.5
2024-04-05,7662.5
2024-04-08,7767.0
2024-04-09,7786.5
2024-04-10,7825.0
2024-04-11,7836.5
2024-04-12,7839.5
2024-04-15,7920.5
2024-04-16,7897.0
2024-04-17,7886.0
2024-04-18,7840.0
2024-04-19,7835.5
2024-04-22,7827.5
2024-04-23,7840.0
2024-04-24,7820.5
2024-04-25,7827.5
2024-04-26,7929.5
2024-04-27,8002.5
2024-04-29,8152.0
2024-04-30,8085.5
2024-05-02,8104.5
2024-05-03,8075.5
2024-05-06,8026.5
2024-05-07,7722.5
2024-05-08,7714.0
2024-05-10,7713.5
2024-05-13,7689.0
2024-05-14,7672.0
2024-05-15,7655.5
2024-05-16,7715.0
2024-05-17,7854.5
2024-05-20,7834.5
2024-05-21,7848.0
2024-05-22,7820.0
2024-05-23,7841.5
